distance,angle,raw_angle,time,speed
5.591646,195.293,2222,800549,-1.319289
5.606124,174.8145,1989,800562,-1.20656
5.62371,149.9414,1706,800574,-1.352749
5.647883,115.752,1317,800587,-1.859433
5.677089,74.44336,847,800600,-2.246615
5.697968,44.91211,511,800613,-1.606091
5.71456,21.44531,244,800626,-1.276269
5.95206,357.3633,4066,800638,19.79173
5.975052,324.8438,3696,800651,-1.768612
6.001586,287.3145,3269,800664,-2.041074
6.026815,251.6309,2863,800677,-1.940693
6.047695,222.0996,2527,800690,-1.739932
6.064597,198.1934,2255,800702,-1.300169
6.079635,176.9238,2013,800716,-1.156768
6.096288,153.3691,1745,800728,-1.281049
6.120212,119.5313,1360,800741,-1.840313
6.149791,77.69531,884,800754,-2.275296
6.17154,46.93359,534,800767,-1.812429
6.18782,23.90625,272,800779,-1.252368
6.204474,0.3515625,4,800792,-1.281049
6.436506,328.5352,3738,800805,17.84864
6.462791,291.3574,3315,800818,-2.021954
6.488704,254.707,2898,800831,-2.15938
6.509894,224.7363,2557,800843,-1.765824
6.527355,200.0391,2276,800856,-1.343189
6.542269,178.9453,2036,800869,-1.147208
6.558239,156.3574,1779,800882,-1.228468
6.582101,122.6074,1395,800895,-1.835533
6.611431,81.12305,923,800908,-2.256176
6.63405,49.13086,559,800921,-1.884926
6.650331,26.10352,297,800933,-1.252368
6.667171,2.285156,26,800946,-1.295389
6.900881,332.8418,3787,800959,19.47585
6.927291,295.4883,3362,800971,-2.031514
6.953328,258.6621,2943,800984,-2.002834
6.976009,226.582,2578,800997,-1.744712
6.993595,201.709,2295,801010,-1.352749
7.008571,180.5273,2054,801023,-1.151988
7.024106,158.5547,1804,801036,-1.195008
7.0466,126.7383,1442,801049,-1.874569
7.075682,85.60547,974,801061,-2.237056
7.099606,51.76758,589,801074,-1.840313
7.115763,28.91602,329,801087,-1.242809
7.133473,3.867188,44,801100,-1.362309
7.367743,335.2148,3814,801113,18.02072
7.393779,298.3887,3395,801126,-2.169736
7.419506,262.002,2981,801138,-1.978933
7.442062,230.0977,2618,801151,-1.735152
7.459586,205.3125,2336,801164,-1.347969
7.475183,183.252,2085,801177,-1.299771
7.49016,162.0703,1844,801189,-1.247987
7.512343,130.6934,1487,801203,-1.584581
7.540617,90.70313,1032,801216,-2.356158
7.565722,55.19531,628,801228,-1.931133
7.582562,31.37695,357,801241,-1.295389
7.599154,7.910156,90,801254,-1.276269
7.834168,340.3125,3872,801266,19.58459
7.859273,304.8047,3468,801279,-1.931133
7.885683,267.4512,3043,801292,-2.031514
7.908488,235.1953,2676,801305,-1.754272
7.927566,208.2129,2369,801318,-1.46747
7.943411,185.8008,2114,801331,-1.218908
7.958076,165.0586,1878,801344,-1.128088
7.978334,136.4063,1552,801356,-1.688148
8.006111,97.11914,1105,801369,-2.136675
8.032458,59.85352,681,801382,-2.026734
8.050355,34.54102,393,801395,-1.49137
8.066201,12.12891,138,801407,-1.320484
8.301403,344.7949,3923,801420,18.09242
8.326694,309.0234,3516,801433,-1.945473
8.353539,271.0547,3084,801446,-2.064974
8.376532,238.5352,2714,801459,-1.768612
8.395857,211.2012,2403,801472,-1.48659
8.411578,188.9648,2150,801485,-1.310127
8.426368,168.0469,1912,801497,-1.137648
8.444948,141.7676,1613,801510,-1.42923
8.472539,102.7441,1169,801523,-2.122335
8.499259,64.95117,739,801536,-2.055414
8.518957,37.08984,422,801549,-1.51527
8.53474,14.76563,168,801562,-1.214128
8.770252,347.8711,3958,801575,19.62602
8.794114,314.1211,3574,801587,-1.835533
8.821269,275.7129,3137,801600,-2.088874
8.844509,242.8418,2763,801613,-1.787732
8.864021,215.2441,2449,801626,-1.50093
8.880364,192.1289,2186,801639,-1.361911
8.89503,171.3867,1950,801651,-1.128088
8.91274,146.3379,1665,801664,-1.362309
8.940827,106.6113,1213,801678,-2.160575
8.968604,67.32422,766,801690,-2.136675
8.988116,39.72656,452,801703,-1.50093
9.003838,17.49023,199,801716,-1.209348
9.239785,351.2109,3996,801729,19.66227
9.263212,318.0762,3619,801741,-1.802072
9.289995,280.1953,3188,801754,-2.060194
9.31423,245.918,2798,801767,-1.864213
9.334364,217.4414,2474,801780,-1.548731
9.350893,194.0625,2208,801793,-1.377446
9.36649,172.002,1957,801806,-1.114089
9.384635,146.3379,1665,801819,-1.395769
9.410672,109.5117,1246,801832,-2.002834
9.438946,69.52148,791,801844,-2.356158
9.458769,41.48438,472,801857,-1.52483
9.474552,19.16016,218,801870,-1.214128
9.710935,353.4961,4022,801883,19.69851
9.734362,320.3613,3645,801895,-1.802072
9.761393,282.1289,3210,801908,-2.079314
9.785876,247.5,2816,801921,-1.883333
9.805512,219.7266,2500,801934,-1.51049
9.823595,194.1504,2209,801947,-1.390989
9.838074,173.6719,1976,801960,-1.113748
9.855908,148.4473,1689,801973,-1.371869
9.881138,112.7637,1283,801986,-1.940693
9.910219,71.63086,815,801999,-2.237056
9.930477,42.97852,489,802011,-1.688148
9.946385,20.47852,233,802024,-1.223688
10.1832,355.4297,4044,802037,18.2167
10.20675,322.1191,3665,802050,-1.811632
10.23304,284.9414,3242,802062,-2.19045
10.25821,249.3457,2837,802075,-1.935913
10.27952,219.1992,2494,802089,-1.522441
10.29661,195.0293,2219,802102,-1.314509
10.31121,174.375,1984,802114,-1.216917
10.3288,149.502,1701,802127,-1.352749
10.35359,114.4336,1302,802140,-1.907233
10.3828,73.125,832,802153,-2.246615
10.40349,43.85742,499,802166,-1.724397
10.41952,21.18164,241,802178,-1.336019
10.65659,356.4844,4056,802191,18.23582
10.68001,323.3496,3679,802204,-1.802072
10.70655,285.8203,3252,802217,-2.041074
10.73296,248.4668,2827,802230,-2.031514
10.75284,220.3418,2507,802243,-1.52961
10.77024,195.7324,2227,802256,-1.338409
10.78478,175.166,1993,802269,-1.118528
10.80212,150.6445,1714,802282,-1.444765
10.82605,116.8066,1329,802294,-1.840313
10.85538,75.32227,857,802307,-2.256176
10.8765,45.43945,517,802320,-1.625211
10.89272,22.5,256,802333,-1.351554
11.13022,358.418,4078,802345,18.26929
11.1529,326.3379,3713,802358,-1.744712
11.17913,289.248,3291,802371,-2.017174
11.20578,251.543,2862,802385,-2.050634
11.22586,223.1543,2539,802397,-1.543951
11.2435,198.1934,2255,802410,-1.357529
11.25848,177.0117,2014,802423,-1.151988
11.27495,153.7207,1749,802436,-1.266709
11.29844,120.498,1371,802449,-1.806852
11.32789,78.83789,897,802462,-2.454547
11.34958,48.16406,548,802474,-1.668231
11.36579,25.22461,287,802487,-1.247589
11.38301,0.8789063,10,802500,-1.324069
11.61591,330.293,3758,802512,19.40853
11.64244,292.7637,3331,802525,-2.041074
11.6696,254.3555,2894,802539,-1.939669
11.6906,224.6484,2556,802552,-1.615651
11.70788,200.2148,2278,802565,-1.439586
11.72316,178.5938,2032,802577,-1.273879
11.73926,155.8301,1773,802590,-1.238028
11.76244,123.0469,1400,802603,-1.782952
11.79183,81.47461,927,802616,-2.260956
11.81463,49.21875,560,802629,-1.900461
11.83054,26.71875,304,802641,-1.223688
11.848,2.021484,23,802654,-1.343189
12.08159,332.4023,3782,802667,17.96814
12.10787,295.2246,3359,802680,-2.19045
12.13335,259.1895,2949,802692,-1.959813
12.15659,226.3184,2575,802706,-1.660037
12.17412,201.5332,2293,802719,-1.347969
12.18928,180.0879,2049,802732,-1.166328
12.20506,157.7637,1795,802745,-1.315306
12.22756,125.9473,1433,802757,-1.730372
12.25651,84.99023,967,802770,-2.227495
12.28031,51.32813,584,802783,-1.830752
12.2966,28.30078,322,802796,-1.252368
12.31356,4.306641,49,802808,-1.413695
12.54727,334.8633,3810,802821,17.9777
12.57362,297.5977,3386,802834,-2.026734
12.59934,261.2109,2972,802847,-1.978933
12.62147,229.9219,2616,802860,-1.843499
12.64054,202.9395,2309,802873,-1.362651
12.65614,180.8789,2058,802886,-1.199788
12.67192,158.5547,1804,802899,-1.214128
12.69417,127.0898,1446,802912,-1.711252
12.72288,86.48438,984,802925,-2.208375
12.74699,52.38281,596,802937,-2.009207
12.76358,28.91602,329,802950,-1.276269
12.7803,5.273438,60,802963,-1.285829
13.01438,336.3574,3827,802976,18.00639
13.04042,299.5313,3408,802988,-2.169736
13.06645,262.7051,2989,803001,-2.002834
13.08839,231.6797,2636,803014,-1.687352
13.10672,205.752,2341,803027,-1.41011
13.12219,183.8672,2092,803040,-1.190228
13.13891,160.2246,1823,803054,-1.193984
13.16103,128.9355,1467,803067,-1.843499
13.18974,88.33008,1005,803079,-2.208375
13.21398,54.05273,615,803092,-1.864213
13.231,29.9707,341,803105,-1.309729
13.24759,6.503906,74,803118,-1.382624
13.48193,337.9395,3845,803130,18.0255
13.50753,301.7285,3433,803143,-1.969374
13.53387,264.4629,3009,803156,-2.026734
13.55562,233.7012,2659,803169,-1.673011
13.57451,206.9824,2355,803182,-1.574224
13.59005,185.0098,2105,803194,-1.195008
13.60509,163.7402,1863,803207,-1.156768
13.62516,135.3516,1540,803220,-1.543951
13.65461,93.69141,1066,803233,-2.265736
13.68158,55.54688,632,803247,-1.926353
13.69873,31.28906,356,803260,-1.42923
13.71539,7.734375,88,803272,-1.387803
13.94959,338.9941,3857,803285,18.01594
13.97451,303.75,3456,803298,-1.916793
14.00129,265.8691,3025,803311,-2.060194
14.02335,234.668,2670,803324,-1.838321
14.04224,207.9492,2366,803336,-1.45313
14.0579,185.8008,2114,803349,-1.204568
14.07313,164.2676,1869,803362,-1.171108
14.09307,136.0547,1548,803375,-1.53439
14.12191,95.27344,1084,803388,-2.217935
14.14745,59.15039,673,803400,-2.128309
14.16541,33.75,384,803413,-1.381429
14.18162,10.81055,123,803426,-1.247589
14.41397,339.4336,3862,803440,16.59593
14.43901,304.0137,3459,803453,-1.926353
14.46585,266.0449,3027,803466,-2.064974
14.48816,234.4922,2668,803478,-1.859034
14.50687,208.0371,2367,803491,-1.43879
14.52246,185.9766,2116,803504,-1.199788
14.53775,164.3555,1870,803517,-1.175888
14.55795,135.791,1545,803530,-1.553511
14.58653,95.36133,1085,803543,-2.38205
14.61238,58.79883,669,803555,-1.988494
14.63003,33.83789,385,803568,-1.357529
14.64631,10.81055,123,803581,-1.252368
14.88101,342.7734,3900,803594,19.5587
14.90606,307.3535,3497,803606,-1.926353
14.93265,269.7363,3069,803619,-2.045854
14.95558,237.3047,2700,803632,-1.763832
14.97609,208.3008,2370,803646,-1.464739
14.99194,185.8887,2115,803659,-1.218908
15.00722,164.2676,1869,803672,-1.175888
15.02767,135.3516,1540,803685,-1.572631
15.056,95.27344,1084,803698,-2.361336
15.08191,58.62305,667,803710,-1.993274
15.09956,33.66211,383,803723,-1.357529
15.1159,10.54688,120,803736,-1.257149
15.35092,342.9492,3902,803748,19.58459
15.37658,306.6504,3489,803761,-1.974154
15.40293,269.3848,3065,803774,-2.026734
15.42586,236.9531,2696,803787,-1.763832
15.44475,210.2344,2392,803800,-1.45313
15.46091,187.3828,2132,803813,-1.242809
15.47582,166.2891,1892,803826,-1.242809
15.49589,137.9004,1569,803838,-1.543951
15.52715,93.69141,1066,803853,-2.232617
15.55294,57.2168,651,803865,-1.983714
15.57052,32.34375,368,803878,-1.352749
15.58699,9.052734,103,803891,-1.266709
15.82194,341.3672,3884,803904,19.57941
15.84767,304.9805,3470,803916,-1.978933
15.87389,267.8906,3048,803929,-2.017174
15.89664,235.7227,2682,803942,-1.749492
15.91559,208.916,2377,803955,-1.45791
15.93168,186.1523,2118,803968,-1.238028
15.94647,165.2344,1880,803981,-1.232452
15.96667,136.6699,1555,803993,-1.553511
15.99482,96.85547,1102,804006,-2.165355
16.02123,59.50195,677,804019,-2.031514
16.03881,34.62891,394,804032,-1.352749
16.05559,10.89844,124,804044,-1.39816
16.29085,343.6523,3910,804057,18.0972
16.31938,303.3105,3451,804072,-2.037318
16.34547,266.3965,3031,804084,-2.007614
16.36822,234.2285,2665,804097,-1.749492
16.38667,208.125,2368,804110,-1.41967
16.40277,185.3613,2109,804123,-1.238028
16.41768,164.2676,1869,804136,-1.147208
16.43844,134.9121,1535,804149,-1.729575
16.46684,94.74609,1078,804161,-2.184475
16.49281,58.00781,660,804174,-1.998054
16.51021,33.39844,380,804187,-1.338409
16.52724,9.316406,106,804200,-1.418873
16.76213,341.543,3886,804212,18.06852
16.78766,305.4199,3475,804225,-1.964593
16.81401,268.1543,3051,804238,-2.026734
16.83682,235.8984,2684,804251,-1.754272
16.85527,209.7949,2387,804264,-1.41967
16.8718,186.416,2121,804277,-1.377446
16.88696,164.9707,1877,804290,-1.166328
16.90996,132.4512,1507,804304,-1.532797
16.93854,92.02148,1047,804317,-2.198815
16.96408,55.89844,636,804329,-2.128309
16.98104,31.9043,363,804342,-1.304949
16.99801,7.910156,90,804355,-1.304949
17.23265,339.7852,3866,804368,19.55352
17.2585,303.2227,3450,804380,-2.154202
17.28429,266.748,3035,804393,-1.983714
17.30734,234.1406,2664,804406,-1.773392
17.32567,208.2129,2369,804419,-1.41011
17.34171,185.5371,2111,804432,-1.233248
17.35674,164.2676,1869,804445,-1.156768
17.37756,134.8242,1534,804458,-1.734754
17.40571,95.00977,1081,804470,-2.165355
17.43169,58.27148,663,804483,-1.998054
17.44952,33.04688,376,804496,-1.371869
17.46611,9.580078,109,804509,-1.276269
17.70069,341.3672,3884,804521,19.54834
17.72605,305.5078,3476,804534,-1.950253
17.75519,264.2871,3007,804549,-2.081704
17.77769,232.4707,2645,804562,-1.730372
17.79639,206.0156,2344,804574,-1.43879
17.81205,183.8672,2092,804587,-1.204568
17.82746,162.0703,1844,804600,-1.185448
17.84871,132.0117,1502,804613,-1.634771
17.87761,91.14258,1037,804626,-2.222715
17.90246,55.98633,637,804639,-2.071347
17.91998,31.20117,355,804651,-1.347969
17.93682,7.382813,84,804664,-1.295389
18.17122,338.9063,3856,804677,18.03028
18.19651,303.1348,3449,804690,-1.945473
18.22298,265.6934,3023,804702,-2.205985
18.2456,233.7012,2659,804715,-1.739932
18.26424,207.334,2359,804728,-1.43401
18.28009,184.9219,2104,804741,-1.218908
18.29538,163.3008,1858,804754,-1.175888
18.31588,134.2969,1528,804767,-1.577411
18.34496,93.16406,1060,804780,-2.423477
18.37268,53.96484,614,804794,-1.847642
18.38977,29.79492,339,804807,-1.314509
18.40679,5.712891,65,804820,-1.309729
18.64063,336.4453,3828,804832,19.4862
18.66629,300.1465,3415,804845,-1.974154
18.69301,262.3535,2985,804858,-2.055414
18.71464,231.7676,2637,804871,-1.663451
18.73291,205.9277,2343,804884,-1.40533
18.74857,183.7793,2091,804897,-1.204568
18.76441,161.3672,1836,804910,-1.320484
18.78548,131.5723,1497,804922,-1.620431
18.81481,90.08789,1025,804935,-2.256176
18.83929,55.45898,631,804948,-1.883333
18.85657,31.02539,353,804961,-1.328849
18.87341,7.207031,82,804974,-1.403338
19.10761,338.4668,3851,804986,18.01594
19.13259,303.1348,3449,804999,-1.921573
19.15981,264.6387,3011,805012,-2.093654
19.18218,232.998,2651,805025,-1.720812
19.20058,206.9824,2355,805038,-1.41489
19.21798,182.373,2075,805052,-1.242808
19.23413,159.5215,1815,805065,-1.242809
19.25557,129.1992,1470,805078,-1.649111
19.28472,87.97852,1001,805091,-2.241836
19.30901,53.61328,610,805104,-1.868993
19.32604,29.53125,336,805117,-1.418873
